flux,flux_err,timecorr,cadenceno,centroid_col,centroid_row,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
7121.282,9.264648,0.0037985088,730679,1306.9050944977237,1439.0610163471263,6634.658,7.7159166,1016.87616,2.399341,7121.282,9.264648,0,,,,,1306.9050944977237,0.0008175841,1439.0610163471263,0.0008301765,-0.017970031,-0.014013975
7110.1304,9.258946,0.0037985395,730680,1306.9069885335498,1439.0616674081311,6625.7954,7.711168,1014.46387,2.3975,7110.1304,9.258946,0,,,,,1306.9069885335498,0.00081809115,1439.0616674081311,0.00083044457,-0.016844576,-0.013066858
7117.5796,9.264635,0.0037985703,730681,1306.9065615087031,1439.0609581842475,6629.019,7.7159047,1016.67365,2.4037597,7117.5796,9.264635,0,,,,,1306.9065615087031,0.00081763853,1439.0609581842475,0.0008312471,-0.016105497,-0.012110324
7097.8345,9.25975,0.003798601,730682,1306.9074233987228,1439.0600411402868,6614.721,7.711837,1023.8674,2.404889,7097.8345,9.25975,0,,,,,1306.9074233987228,0.00081930164,1439.0600411402868,0.0008322089,-0.017200673,-0.014360499
7132.6064,9.269333,0.0037986317,730683,1306.905613652555,1439.0596588390458,6644.2227,7.7198176,1015.65826,2.3993497,7132.6064,9.269333,0,,,,,1306.905613652555,0.00081705244,1439.0596588390458,0.00082998717,-0.017316878,-0.014372938
7121.784,9.265924,0.0037986625,730684,1306.9077153750745,1439.0592511902887,6634.3584,7.7169785,1016.00214,2.4005582,7121.784,9.265924,0,,,,,1306.9077153750745,0.00081909995,1439.0592511902887,0.0008313726,-0.016437307,-0.013827965
7117.8853,9.269659,0.0037986932,730685,1306.9087157677625,1439.059889342507,6630.743,7.720089,1018.25867,2.4043438,7117.8853,9.269659,0,,,,,1306.9087157677625,0.0008179778,1439.059889342507,0.0008311969,-0.016705176,-0.013902887
7116.7114,9.260766,0.003798724,730686,1306.9052253320754,1439.0631310525998,6627.526,7.7126822,1016.0733,2.3980818,7116.7114,9.260766,0,,,,,1306.9052253320754,0.00081710424,1439.0631310525998,0.0008313466,-0.018045185,-0.0105961235
7133.5654,9.271319,0.0037987547,730687,1306.9075243639963,1439.063821254881,6642.1978,7.7214723,1018.23883,2.4026208,7133.5654,9.271319,0,,,,,1306.9075243639963,0.0008176966,1439.063821254881,0.00082972983,-0.014175324,-0.010790527
7104.1816,9.259027,0.0037987852,730688,1306.9054091764738,1439.060790317057,6618.26,7.711233,1018.58203,2.4002106,7104.1816,9.259027,0,,,,,1306.9054091764738,0.0008188299,1439.060790317057,0.0008317396,-0.017575672,-0.0122513855
7124.8447,9.268623,0.003798816,730689,1306.9091190540785,1439.0631315761264,6634.59,7.7192264,1020.3195,2.4044113,7124.8447,9.268623,0,,,,,1306.9091190540785,0.00081789953,1439.0631315761264,0.0008300057,-0.013154461,-0.010152068
7134.9014,9.274541,0.0037988466,730690,1306.9096107869555,1439.0612326148541,6642.901,7.7241545,1017.68665,2.4022148,7134.9014,9.274541,0,,,,,1306.9096107869555,0.00081749924,1439.0612326148541,0.00083106454,-0.013777898,-0.011504532
7118.1055,9.266183,0.0037988774,730691,1306.906592839812,1439.0608180188976,6631.452,7.7171936,1020.5475,2.4020925,7118.1055,9.266183,0,,,,,1306.906592839812,0.00081811746,1439.0608180188976,0.0008302807,-0.015521801,-0.013111652
7123.253,9.268121,0.0037989079,730692,1306.9068680250064,1439.0625185818224,6633.8003,7.718808,1016.84045,2.400954,7123.253,9.268121,0,,,,,1306.9068680250064,0.0008180212,1439.0625185818224,0.0008303393,-0.016114516,-0.010391936
7113.618,9.260528,0.0037989386,730693,1306.9050387987404,1439.0615590420243,6626.568,7.712484,1018.54425,2.4017127,7113.618,9.260528,0,,,,,1306.9050387987404,0.0008184602,1439.0615590420243,0.0008307343,-0.017584924,-0.011762036
7111.6997,9.264757,0.0037989693,730694,1306.9058931115121,1439.0586206134874,6627.7725,7.7160068,1017.922,2.4014874,7111.6997,9.264757,0,,,,,1306.9058931115121,0.00081790605,1439.0586206134874,0.00083169225,-0.017290061,-0.017086798
7113.8745,9.265584,0.0037989998,730695,1306.9084400831255,1439.0627114191689,6625.5957,7.716696,1019.19293,2.401989,7113.8745,9.265584,0,,,,,1306.9084400831255,0.00081956165,1439.0627114191689,0.00083165924,-0.014132054,-0.008607265
7118.8228,9.269206,0.0037990306,730696,1306.9057321981538,1439.0609599429179,6630.279,7.7197113,1019.7435,2.4018528,7118.8228,9.269206,0,,,,,1306.9057321981538,0.00081944343,1439.0609599429179,0.0008307345,-0.01716429,-0.0125254085
7122.1616,9.267053,0.003799061,730697,1306.906843347154,1439.0599860676407,6634.3184,7.717918,1018.03265,2.4042068,7122.1616,9.267053,0,,,,,1306.906843347154,0.00081711466,1439.0599860676407,0.0008308512,-0.015632607,-0.01320927
7097.9775,9.256323,0.0037990918,730698,1306.9071965726707,1439.060809668719,6612.063,7.708982,1021.43536,2.4014757,7097.9775,9.256323,0,,,,,1306.9071965726707,0.0008184767,1439.060809668719,0.000832145,-0.016455298,-0.012550987
7113.2495,9.270823,0.0037991223,730699,1306.9059929190605,1439.0599347831558,6627.341,7.7210584,1020.52747,2.4058125,7113.2495,9.270823,0,,,,,1306.9059929190605,0.00081915635,1439.0599347831558,0.00083270215,-0.017706148,-0.015130432
7122.5576,9.267308,0.003799153,730700,1306.9062359439938,1439.059140159067,6635.893,7.7181315,1019.1203,2.4041634,7122.5576,9.267308,0,,,,,1306.9062359439938,0.0008182594,1439.059140159067,0.0008297083,-0.014580959,-0.014967136
7122.5396,9.268833,0.0037991835,730701,1306.9069362446694,1439.062174742623,6633.5825,7.7194014,1018.8662,2.402178,7122.5396,9.268833,0,,,,,1306.9069362446694,0.00081898225,1439.062174742623,0.00083082303,-0.0177393,-0.011980896
7122.487,9.264202,0.003799214,730702,1306.9061886111938,1439.058397727427,6635.3276,7.715544,1015.7198,2.3980026,7122.487,9.264202,0,,,,,1306.9061886111938,0.00081804406,1439.058397727427,0.00083098805,-0.016926834,-0.015223002
7120.4624,9.263564,0.0037992448,730703,1306.9074432177176,1439.0603095080778,6632.8726,7.7150126,1017.2834,2.3997006,7120.4624,9.263564,0,,,,,1306.9074432177176,0.0008178548,1439.0603095080778,0.0008308524,-0.01616731,-0.0147626875
7130.346,9.273811,0.0037992753,730704,1306.9060094453314,1439.0604042522157,6641.6753,7.7235465,1016.14166,2.4014518,7130.346,9.273811,0,,,,,1306.9060094453314,0.0008181964,1439.0604042522157,0.00082960376,-0.016382918,-0.013038366
7117.38,9.264355,0.0037993058,730705,1306.9048039634013,1439.0608634259188,6629.6426,7.7156715,1016.36835,2.3990943,7117.38,9.264355,0,,,,,1306.9048039634013,0.0008187847,1439.0608634259188,0.0008312307,-0.017971702,-0.011832788
7104.326,9.25894,0.0037993363,730706,1306.9055111649582,1439.059637737174,6622.0547,7.7111616,1018.77435,2.3993127,7104.326,9.25894,0,,,,,1306.9055111649582,0.00081888336,1439.059637737174,0.0008307463,-0.01913237,-0.01666097
