time,flux,flux_err,timecorr,cadenceno,centroid_col,centroid_row,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
1816.827029905248,6705.487,3.3375962,0.0037241674,28289,1507.2895825861422,1179.5351242810218,5485.1025,2.5840847,1177.669,0.8977026,6705.487,3.3375962,0,,,,,1507.2895825861422,0.00036254793,1179.5351242810218,0.00029880524,0.0065091876,0.042229433
1816.8895312310626,6702.9326,3.3381674,0.0037255194,28292,1507.289029663072,1179.5325034664975,5487.167,2.5845273,1176.8063,0.8977612,6702.9326,3.3381674,0,,,,,1507.289029663072,0.0003629439,1179.5325034664975,0.00029870294,0.005555193,0.037805986
1816.910365004316,6702.182,3.3381965,0.003725968,28293,1507.290931845801,1179.5344428305966,5485.998,2.58455,1177.5651,0.8983296,6702.182,3.3381965,0,,,,,1507.290931845801,0.0003626982,1179.5344428305966,0.0002988151,0.0076892967,0.040866792
1816.9311987764056,6705.088,3.3381226,0.0037264156,28294,1507.2895791811336,1179.5336862944384,5489.7656,2.5844924,1178.1676,0.89755034,6705.088,3.3381226,0,,,,,1507.2895791811336,0.00036252177,1179.5336862944384,0.0002985302,0.005605741,0.03942071
1816.9520325475648,6694.5127,3.336614,0.0037268621,28295,1507.2894737604397,1179.5346975851185,5474.6846,2.5833242,1178.7551,0.89997315,6694.5127,3.336614,0,,,,,1507.2894737604397,0.0003634034,1179.5346975851185,0.00029916017,0.0061129564,0.042436652
1816.9937000863886,6703.722,3.3373075,0.0037277518,28297,1507.2894098291913,1179.5334774597143,5486.6577,2.583861,1176.968,0.8978852,6703.722,3.3373075,0,,,,,1507.2894098291913,0.00036242945,1179.5334774597143,0.00029861942,0.005984258,0.03985132
1817.0145338542864,6703.411,3.3372626,0.003728195,28298,1507.289228905551,1179.5331589496784,5486.572,2.5838263,1177.5165,0.8971766,6703.411,3.3372626,0,,,,,1507.289228905551,0.00036247846,1179.5331589496784,0.00029866202,0.006107329,0.039338615
1817.035367621254,6697.196,3.3379736,0.0037286375,28299,1507.2891863400612,1179.5331119251261,5484.7744,2.584377,1179.1538,0.8978479,6697.196,3.3379736,0,,,,,1507.2891863400612,0.00036272712,1179.5331119251261,0.0002988027,0.0057209483,0.038514297
1817.0562013870574,6697.7583,3.3376079,0.0037290787,28300,1507.2894380574085,1179.5340199867203,5481.604,2.5840938,1177.7614,0.8984417,6697.7583,3.3376079,0,,,,,1507.2894380574085,0.00036305212,1179.5340199867203,0.0002989725,0.005367052,0.039368425
1817.0770351519286,6701.512,3.3377123,0.003729519,28301,1507.2885058292225,1179.5332781805623,5485.9556,2.5841746,1177.836,0.89823925,6701.512,3.3377123,0,,,,,1507.2885058292225,0.00036264758,1179.5332781805623,0.000298756,0.0048791487,0.038509484
1817.0978689158685,6699.013,3.338358,0.0037299583,28302,1507.2888809628687,1179.533473928011,5483.952,2.5846746,1178.6198,0.900439,6699.013,3.338358,0,,,,,1507.2888809628687,0.00036299814,1179.533473928011,0.00029881895,0.005589507,0.039242066
1817.1187026788773,6705.296,3.3386774,0.0037303967,28303,1507.2884809650616,1179.5332265517923,5490.8184,2.584922,1178.6633,0.8978489,6705.296,3.3386774,0,,,,,1507.2884809650616,0.00036226012,1179.5332265517923,0.00029860405,0.004508718,0.03844144
1817.1395364407224,6706.1323,3.3392875,0.003730834,28304,1507.2889163308641,1179.5330090792156,5487.114,2.5853944,1176.8309,0.9011033,6706.1323,3.3392875,0,,,,,1507.2889163308641,0.0003628358,1179.5330090792156,0.00029863487,0.005810843,0.03945017
1817.160370201637,6706.207,3.3446026,0.0037312703,28305,1507.288507478714,1179.53300971869,5490.217,2.5895095,1177.359,0.8992186,6706.207,3.3446026,0,,,,,1507.288507478714,0.0003630822,1179.53300971869,0.0002997079,0.0046102265,0.03776568
