Time (BJD-2457000), Flux, Flattened Flux
3235.34886578070882, 1.00102768261368, 0.99905749415430
3235.34932878916061, 1.00111385963957, 0.99914099898289
3235.34956029341583, 1.00142290191895, 0.99944870528004
3235.34979179767060, 1.00178839504207, 0.99981286288659
3235.35002330186717, 1.00205655187267, 1.00007968489911
3235.35025480612239, 1.00210210457740, 1.00012390232010
3235.35048631037762, 1.00358160324765, 1.00160206687076
3235.35071781457418, 1.00189014816148, 0.99990927766499
3235.35094931882895, 1.00161388261013, 0.99963167776123
3235.35118082308418, 1.00129962808357, 0.99931608981357
3235.35141232733940, 1.00029029462545, 0.99830542316719
3235.35164383153597, 1.00218003362316, 1.00019382897663
3235.35187533579074, 1.00136091305038, 0.99937337544841
3235.35210684004596, 1.00299547565876, 1.00100660579986
3235.35233834424298, 1.00285882590153, 1.00086862378568
3235.35256984849775, 1.00209243431154, 1.00010090040441
3235.35280135275252, 1.00300011471832, 1.00100724925274
3235.35303285694954, 1.00151570817011, 0.99952151137891
3235.35326436120477, 1.00214630500160, 1.00015077758327
3235.35349586545954, 1.00200092721978, 1.00000406917432
3235.35372736965610, 1.00197919534915, 0.99998100667656
3235.35395887391132, 1.00287639969568, 1.00087688132728
3235.35419037816655, 1.00231282845964, 1.00031198039544
3235.35442188242132, 1.00201899130801, 1.00001681354800
3235.35465338661788, 1.00383192371326, 1.00182841718877
3235.35488489087311, 1.00114700423406, 0.99914216871225
3235.35511639512833, 1.00142862424844, 0.99942246042782
3235.35534789932490, 1.00098361792715, 0.99897612580771
3235.35557940357967, 1.00223228348667, 1.00022346353406
3235.35581090783489, 1.00086268434526, 0.99885253679233
3235.35604241209012, 1.00386256356154, 1.00185108887393
3235.35627391628668, 1.00163572936255, 0.99962292777311
3235.35650542054145, 1.00311276031815, 1.00109863182686
3235.35673692479668, 1.00161658530550, 0.99960113061087
3235.35696842905145, 1.00245226383285, 1.00043548316771
3235.35719993330667, 1.00248116955396, 1.00046306315113
3235.35743143750324, 1.00288326197200, 1.00086382959865
3235.35766294175801, 1.00239784074782, 1.00037708356811
3235.35789444601323, 1.00112033379527, 0.99909825204203
3235.35812595026846, 1.00226988819078, 1.00024648186401
3235.35835745446502, 1.00133088393016, 0.99930615326269
3235.35858895871979, 1.00212457436164, 1.00009852005196
3235.35882046297502, 0.99954991268934, 0.99752253450462
3235.35905196723024, 1.00170665348750, 0.99967795212624
3235.35928347142681, 1.00273749575822, 1.00070747145323
3235.35951497568249, 1.00200749983210, 0.99997615304906
3235.35974647993817, 1.00169427575424, 0.99966160672597
3235.35997798419294, 1.00204874474084, 1.00001475346735
3235.36020948844816, 1.00194381556562, 0.99990850274539
3235.36044099264518, 1.00219994505922, 1.00016331092509
3235.36067249689995, 1.00197252804251, 0.99993457259448
3235.36090400115472, 1.00306742899827, 1.00102815316766
3235.36113550540995, 1.00190346907969, 0.99986287263367
3235.36136700960697, 1.00257044084210, 1.00052852401350
3235.36159851386174, 1.00167134879702, 0.99962811181867
3235.36183001811742, 1.00171259591133, 0.99966803971455
3235.36206152237310, 1.00180104157542, 0.99975516616021
3235.36229302656966, 1.00227659962300, 1.00022940522220
3235.36252453082489, 1.00272161565881, 1.00067310320374
3235.36275603508011, 1.00146323018927, 0.99941339874859
3235.36298753933488, 1.00299169579374, 1.00094054676446
3235.36321904358965, 1.00253397731270, 1.00048151046197
3235.36345054784488, 1.00211535825075, 1.00006157450990
3235.36368205204190, 1.00174654504877, 0.99969144371931
3235.36391355629667, 1.00077258064166, 0.99871616265490
3235.36414506055144, 1.00214805169457, 1.00009031774902
3235.36437656480666, 1.00199833937452, 0.99993928923734
3235.36460806906189, 1.00149685682452, 0.99943649096138
3235.36483957331666, 1.00093484398865, 0.99887316263237
3235.36507107751322, 1.00276851857350, 1.00070552218975
3235.36530258176845, 1.00169298084979, 0.99962866943856
3235.36553408602367, 1.00242312457902, 1.00035749860597
3235.36576559027844, 1.00172852344214, 0.99966158337294
3235.36599709453321, 1.00116734776357, 0.99909909359822
3235.36622859878798, 1.00243288177718, 1.00036331398134
3235.36646010298500, 1.00109925463495, 0.99902837367428
3235.36669160724023, 1.00266779938418, 1.00059560549151
3235.36692311149500, 1.00196121427087, 0.99988770791186
3235.36738612000499, 1.00326002596944, 1.00118389560907
3235.36761762426022, 1.00313219610406, 1.00105475374302
3235.36784912845678, 1.00301814945375, 1.00093939579052
3235.36808063271155, 1.00116436591246, 0.99908430164554
3235.36831213696678, 1.00125062487414, 0.99916924953787
3235.36854364122200, 1.00040760635348, 0.99832492064634
3235.36877514547677, 1.00261143173130, 1.00052743635179
3235.36900664973155, 1.00122005236134, 0.99913474707663
3235.36923815398677, 1.00241528510282, 1.00032867037857
3235.36946965818379, 1.00279969693712, 1.00071177300616
3235.36970116243856, 1.00227838285113, 1.00018915017912
3235.36993266669333, 1.00179753909377, 0.99970699814638
3235.37016417094856, 1.00288913680228, 1.00079728757950
3235.37039567520378, 1.00346284732942, 1.00136969029691
3235.37062717945855, 1.00174382272924, 0.99964935811984
3235.37109018796855, 1.00103634724878, 0.99893926864975
3235.37132169222377, 1.00384941557164, 1.00175103055986
3235.37155319647854, 1.00181931702632, 0.99971962583463
3235.37178470067511, 1.00115242428928, 0.99905142715051
3235.37201620493033, 1.00063185326893, 0.99852955064875
3235.37224770918556, 1.00336211977625, 1.00125851167465
3235.37247921344033, 1.00205198665638, 0.99994707377184
3235.37271071769510, 1.00208515779944, 0.99997894036481
3235.37294222195032, 1.00261946053505, 1.00051193901598
